final
X	Y
0.0075 8.18550071186e-10
0.0225 8.20964703638e-10
0.0375 8.37358013422e-10
0.0525 8.6793827906e-10
0.0675 9.13124784977e-10
0.0825 9.7355330726e-10
0.0975 1.05008441994e-09
0.1125 1.14381471577e-09
0.1275 1.25609106817e-09
0.1425 1.38852809487e-09
0.1575 1.54302901907e-09
0.1725 1.72181016132e-09
0.1875 1.92742933416e-09
0.2025 2.162818454e-09
0.2175 2.43132072861e-09
0.2325 2.73673282723e-09
0.2475 3.08335249114e-09
0.2625 3.47603209862e-09
0.2775 3.92023875811e-09
0.2925 4.42212156856e-09
0.3075 4.98858675684e-09
0.3225 5.62738147847e-09
0.3375 6.3471871518e-09
0.3525 7.15772328643e-09
0.3675 8.06986286533e-09
0.3825 9.09576044789e-09
0.3975 1.0248994278e-08
0.4125 1.15447238087e-08
0.4275 1.2999864194e-08
0.4425 1.46332794481e-08
0.4575 1.64659961381e-08
0.4725 1.85214396536e-08
0.4875 2.08256952894e-08
0.5025 2.34077965916e-08
0.5175 2.63000436419e-08
0.5325 2.95383542065e-08
0.5475 3.31626509423e-08
0.5625 3.72172881492e-08
0.5775 4.17515218682e-08
0.5925 4.68200274724e-08
0.6075 5.24834692646e-08
0.6225 5.88091269999e-08
0.6375 6.58715846816e-08
0.6525 7.37534874482e-08
0.6675 8.25463728745e-08
0.6825 9.23515835538e-08
0.6975 1.03281268416e-07
0.7125 1.15459480871e-07
0.7275 1.29023382541e-07
0.7425 1.44124562085e-07
0.7575 1.6093047941e-07
0.7725 1.79626046387e-07
0.7875 2.00415356131e-07
0.8025 2.23523573844e-07
0.8175 2.4919900329e-07
0.8325 2.77715344064e-07
0.8475 3.09374156037e-07
0.8625 3.44507548609e-07
0.8775 3.83481113783e-07
0.8925 4.26697123529e-07
0.9075 4.7459801344e-07
0.9225 5.27670176352e-07
0.9375 5.86448091359e-07
0.9525 6.51518815492e-07
0.9675 7.23526867363e-07
0.9825 8.03179534128e-07
0.9975 8.9125263539e-07
1.0125 9.88596780008e-07
1.0275 1.09614415426e-06
1.0425 1.21491588244e-06
1.0575 1.34603000384e-06
1.0725 1.49071011273e-06
1.0875 1.65029471141e-06
1.1025 1.82624732923e-06
1.1175 2.02016746416e-06
1.1325 2.2338024069e-06
1.1475 2.46906001112e-06
1.1625 2.72802247757e-06
1.1775 3.01296122335e-06
1.1925 3.32635291234e-06
1.2075 3.67089672656e-06
1.2225 4.04953296305e-06
1.2375 4.46546304535e-06
1.2525 4.92217104317e-06
1.2675 5.42344679909e-06
1.2825 5.97341076546e-06
1.2975 6.57654066031e-06
1.3125 7.23770005557e-06
1.3275 7.96216901634e-06
1.3425 8.75567691492e-06
1.3575 9.62443754833e-06
1.3725 1.05751866931e-05
1.3875 1.1615222236e-05
1.4025 1.27524470241e-05
1.4175 1.39954145815e-05
1.4325 1.53533778463e-05
1.4475 1.68363410816e-05
1.4625 1.84551151218e-05
1.4775 2.0221376116e-05
1.4925 2.21477279325e-05
1.5075 2.42477683923e-05
1.5225 2.65361594979e-05
1.5375 2.90287018244e-05
1.5525 3.17424132402e-05
1.5675 3.46956121203e-05
1.5825 3.7908005213e-05
1.5975 4.14007803145e-05
1.6125 4.51967039013e-05
1.6275 4.9320223859e-05
1.6425 5.37975774374e-05
1.6575 5.86569045504e-05
1.6725 6.3928366519e-05
1.6875 6.96442703459e-05
1.7025 7.5839198582e-05
1.7175 8.25501448283e-05
1.7325 8.9816654885e-05
1.7475 9.76809735352e-05
1.7625 0.000106188196913
1.7775 0.000115386430368
1.7925 0.000125326951713
1.8075 0.000136064379661
1.8225 0.000147656847258
1.8375 0.000160166180031
1.8525 0.000173658078509
1.8675 0.000188202304758
1.8825 0.000203872872451
1.8975 0.000220748239972
1.9125 0.000238911505938
1.9275 0.000258450606506
1.9425 0.000279458513682
1.9575 0.000302033433831
1.9725 0.000326279005471
1.9875 0.000352304495365
2.0025 0.000380224991815
2.0175 0.000410161594031
2.0325 0.000442241596301
2.0475 0.000476598665653
2.0625 0.000513373011615
2.0775 0.000552711546579
2.0925 0.000594768035261
2.1075 0.000639703231623
2.1225 0.000687685001644
2.1375 0.000738888430225
2.1525 0.000793495910526
2.1675 0.000851697213995
2.1825 0.000913689539372
2.1975 0.00097967753893
2.2125 0.00104987332028
2.2275 0.00112449642214
2.2425 0.0012037737624
2.2575 0.00128793955721
2.2725 0.0013772352095
